id	filename	md5	size	state
6a2a1387-e052-4b67-923f-38d6970ef96b	TCGA-02-0326-01Z-00-DX2.BDF167EF-A9C3-4BCC-AF1E-F68C55149FF9.svs	7660380349cef04e1f566929d41b5b1b	1186118314	released
692d5887-0738-425e-92b9-81771f00a21d	TCGA-02-0330-01Z-00-DX1.e93b88e9-01f4-4bab-bebd-3102752feb79.svs	608d5b30b6eb978ccb98756bebf642e7	518123753	released
eefcb86d-443a-41df-a1f6-3a8398c146d9	TCGA-02-0332-01Z-00-DX1.4d7017ac-1ad9-4359-b641-273c1cb2cc14.svs	a000689677aba0f90ddb7e43619dc880	699996701	released
07687b67-347f-46b0-90ed-5fbd2aa8f9ff	TCGA-02-0333-01Z-00-DX1.fe18103d-36ca-47bf-9ce7-b0e683f4decf.svs	3782935ebb40255dc8feb7110db27570	603811003	released
2f48131c-921b-4db4-b9d9-e8fb050a7e31	TCGA-02-0337-01Z-00-DX1.c7d3d96c-789b-4844-8731-1279d44955ec.svs	f2b719477330d760abfc003f9a6bff6a	729664555	released
2f075bd6-2838-4d60-aaaf-f952582681ad	TCGA-02-0338-01Z-00-DX1.34c13ac8-c8d3-481c-84cb-834c26649bdc.svs	c6a1d7d099eb2d4e7c475045f6805b27	440009441	released
a8c33090-44eb-48d9-9da4-4b37ddad2964	TCGA-02-0339-01Z-00-DX1.4f2b8dc6-4142-4db9-bd3e-9fb527ab6402.svs	cf60d77a13cbd76842c8af09e4762031	501432203	released
f3751a7c-4c29-41c4-a768-e4a8860f0967	TCGA-02-0422-01Z-00-DX1.abe28c3e-4d0c-4479-92e4-f2a1ff2b498c.svs	9fa444b9067100d7cf040b7b54164f71	352972205	released
8206276d-1ef9-485f-8011-76ada3fa0c77	TCGA-02-0430-01Z-00-DX1.aa4aaacb-1f80-48f3-84c0-39accafc45a7.svs	051cf66180ef3189b968b7165fc055e8	865264519	released
a25c8556-ee76-414c-9e6a-6fef4bdde9ae	TCGA-02-0432-01Z-00-DX1.83CB13A3-6ADD-4015-94BA-AA6A759F2F8F.svs	f8c8a553180b34db092ca5b019a98a33	1625213744	released
